hn_id,timepoint,component,stage,filename,url,selected_for_frozen_pair_set
HN05,post,features,metadata,GSE288199_HN05_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_post_T_features.tsv.gz,True
HN05,post,matrix,matrix,GSE288199_HN05_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_post_T_matrix.mtx.gz,True
HN05,pre,barcodes,metadata,GSE288199_HN05_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_pre_T_barcodes.tsv.gz,True
HN05,pre,features,metadata,GSE288199_HN05_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_pre_T_features.tsv.gz,True
HN05,pre,matrix,matrix,GSE288199_HN05_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN05_pre_T_matrix.mtx.gz,True
HN09,post,barcodes,metadata,GSE288199_HN09_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_post_T_barcodes.tsv.gz,True
HN09,post,features,metadata,GSE288199_HN09_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_post_T_features.tsv.gz,True
HN09,post,matrix,matrix,GSE288199_HN09_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_post_T_matrix.mtx.gz,True
HN09,pre,barcodes,metadata,GSE288199_HN09_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_pre_T_barcodes.tsv.gz,True
HN09,pre,features,metadata,GSE288199_HN09_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_pre_T_features.tsv.gz,True
HN09,pre,matrix,matrix,GSE288199_HN09_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN09_pre_T_matrix.mtx.gz,True
HN10,post,barcodes,metadata,GSE288199_HN10_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_post_T_barcodes.tsv.gz,True
HN10,post,features,metadata,GSE288199_HN10_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_post_T_features.tsv.gz,True
HN10,post,matrix,matrix,GSE288199_HN10_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_post_T_matrix.mtx.gz,True
HN10,pre,barcodes,metadata,GSE288199_HN10_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_pre_T_barcodes.tsv.gz,True
HN10,pre,features,metadata,GSE288199_HN10_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_pre_T_features.tsv.gz,True
HN10,pre,matrix,matrix,GSE288199_HN10_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN10_pre_T_matrix.mtx.gz,True
HN11,post,barcodes,metadata,GSE288199_HN11_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN11_post_T_barcodes.tsv.gz,True
HN11,post,features,metadata,GSE288199_HN11_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN11_post_T_features.tsv.gz,True
HN11,post,matrix,matrix,GSE288199_HN11_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN11_post_T_matrix.mtx.gz,True
HN11,pre,barcodes,metadata,GSE288199_HN11_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN11_pre_T_barcodes.tsv.gz,True
HN11,pre,features,metadata,GSE288199_HN11_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN11_pre_T_features.tsv.gz,True
HN11,pre,matrix,matrix,GSE288199_HN11_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN11_pre_T_matrix.mtx.gz,True
HN12,post,barcodes,metadata,GSE288199_HN12_post_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN12_post_T_barcodes.tsv.gz,True
HN12,post,features,metadata,GSE288199_HN12_post_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN12_post_T_features.tsv.gz,True
HN12,post,matrix,matrix,GSE288199_HN12_post_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN12_post_T_matrix.mtx.gz,True
HN12,pre,barcodes,metadata,GSE288199_HN12_pre_T_barcodes.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN12_pre_T_barcodes.tsv.gz,True
HN12,pre,features,metadata,GSE288199_HN12_pre_T_features.tsv.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN12_pre_T_features.tsv.gz,True
HN12,pre,matrix,matrix,GSE288199_HN12_pre_T_matrix.mtx.gz,https://ftp.ncbi.nlm.nih.gov/geo/series/GSE288nnn/GSE288199/suppl/GSE288199_HN12_pre_T_matrix.mtx.gz,True
